sample_id	0007888f-8d96-4c01-8251-7fef6cc71596	000b6b94-572d-4d06-a8f4-2e43829f83d4	000d81dd-9ba4-4852-9090-2bf22f6483f0	0016a232-4573-4e00-afdc-7b4144101ef9	00174492-1adc-4310-8147-a622befbb466	0019c951-16c5-48d0-85c8-58d96b12d330	0022cd20-f64f-4773-b9ff-a3de0b71b259	0024696f-27f5-4d5d-a933-d8c8c52146a6	00252d7f-e222-462f-badc-b97e8dce2021	002cf74b-098b-4de6-9a76-0d889c894ab6
FAH	11.8724	10.2592	29.8016	19.842	30.465	21.3725	21.1913	2.825	55.3451	3.0188
CEMIP	2.0666	5.5302	1.3049	0.3865	0.6974	16.831	19.438	15.8104	0.3776	32.9402
RPAP1	17.8818	19.9349	17.3875	5.9647	12.3143	11.5621	10.6926	9.1639	10.4711	13.6559
HOMER2	56.2398	0.5672	0.5691	7.215	1.2011	7.5227	2.7059	5.4178	0.6701	0.3526
EHD4	13.276	17.2457	47.221	12.7425	26.7975	28.0136	43.1859	19.1464	45.8265	19.8478
TMEM87A	208.8373	19.6623	45.5602	37.2046	30.3673	66.4004	61.7522	23.2447	36.1927	38.5005
ZNF106	38.7448	12.8862	32.0522	5.59	23.65	34.3671	14.7514	12.692	23.4748	15.7652
CEP152	0.4364	6.4521	4.561	0.2526	2.2923	1.8726	1.9012	3.5511	1.4026	2.4001
ATP8B4	0.889	3.0763	2.5249	0.2042	1.6815	1.7356	1.7242	0.1869	2.5857	1.8721
OCA2	0.6128	132.719	0.2924	0.6936	0.9581	0.0538	0.0976	5.369	1.2196	0.0236
DTWD1	2.1623	2.9576	7.6123	2.0725	4.5995	5.3975	6.2288	2.1466	2.6902	2.7517
TGM5	0.0384	0.1152	0.1142	0.0397	0.5714	0.0945	0.1572	11.8276	0.0155	0.2172
ENTREP2	4.2797	0.3723	1.7172	0.425	5.3548	5.6831	5.3794	1.9492	0.6435	0.0899
GABPB1	14.0396	18.1488	12.5168	3.7341	7.8379	15.3701	15.7733	6.7264	8.1766	10.8365
TJP1	80.0629	15.6225	55.4555	10.2143	23.4643	37.9335	49.7322	62.2025	46.4471	35.218
BMF	17.3745	17.3307	11.6537	12.2134	6.5824	11.8814	15.8547	7.2815	9.5935	5.1325
DMXL2	7.4273	10.0855	14.0148	1.1521	5.1239	7.3248	5.4643	3.5091	5.452	10.8908
SCG3	1.9103	1.1225	0.1335	0.2632	0.3036	0.0368	0.0835	1.4672	0.8893	0.0726
DNAJC17	7.3316	5.2875	6.9929	14.368	4.9474	6.1489	9.8094	2.839	4.2028	3.5365
EIF3J	55.1974	61.88	67.5988	28.78	45.273	68.4536	75.2962	60.7895	44.7593	94.4701
SPG11	16.9368	16.5952	34.5247	7.7334	18.5881	34.7052	20.9192	14.9231	22.4316	21.4316
RHOV	55.2838	8.3273	2.1159	4.2551	7.7723	18.2145	24.8212	149.5532	13.0447	14.4102
VPS18	37.9581	26.7167	34.8979	54.9342	22.0899	29.6783	30.3768	17.2158	37.3241	32.5244
OIP5	1.0087	5.0385	1.3214	0.2862	1.0261	0.9232	1.147	3.8737	0.4792	1.9798
SLC30A4	129.8136	1.5257	8.8581	2.0493	5.0767	7.5546	10.1924	4.5729	7.9592	4.3243
BLOC1S6	36.6896	20.2864	52.5468	17.1728	38.6196	33.4738	43.8452	17.6512	30.9376	24.1151
MYEF2	7.2997	4.0097	11.1108	0.9288	7.0807	4.4706	3.3576	1.9268	5.5514	0.3945
SGK3	3.2558	4.5785	8.2912	7.1433	5.4881	16.171	12.261	2.246	6.1686	5.62
PDGFRL	4.9473	10.5905	0.8744	65.6116	4.6787	68.3166	184.3418	0.8544	14.8156	2.6306
CSPP1	1.4695	2.8843	3.409	0.4489	1.3781	3.4536	1.7323	1.6091	1.7328	2.8765
ZDHHC2	23.267	22.246	43.7703	21.4224	27.1273	12.9776	13.1738	12.8817	74.3793	12.2827
BRF2	9.39	9.197	11.9152	2.8732	9.1283	10.1164	7.0395	1.8161	11.3109	6.6057
TRIM35	8.1845	24.5453	21.2194	9.8706	15.8953	23.5612	18.0035	10.5493	46.6889	21.1228
ZFAND1	43.6312	31.423	58.6977	15.6705	25.7171	33.2085	19.2113	14.5642	29.9223	33.6083
RP1	0.059	0.1088	0.2291	0.0031	0.1202	0.1264	0.2159	0.2364	0.1649	0.0513
CA2	2.237	9.6128	267.575	7.9994	197.7774	84.5264	201.4999	79.7274	120.1186	147.1315
FZD3	3.4531	4.0641	3.369	1.7593	2.6259	13.6898	3.0592	2.7816	9.0629	8.7626
INTS9	9.8361	25.5448	14.818	11.1707	9.9636	29.2084	15.954	6.9077	12.6834	11.4228
RIPK2	37.1581	59.369	18.5032	13.3697	19.3628	37.1434	24.3692	11.1684	21.0899	24.7725
EYA1	1.6283	0.252	0.0567	0.0105	0.6651	0.1377	0.2614	0.1059	1.5681	0.1646
NBN	36.3551	41.0672	51.8594	10.2243	47.9067	103.7946	51.2017	17.0934	93.7842	37.4223
TRPA1	0.0225	2.6592	12.889	0	4.2609	0.6714	0.3507	0.7258	12.408	0.417
CPQ	36.1084	26.2263	109.3927	107.2234	61.7282	62.4263	68.4669	7.6457	116.0536	6.7073
DECR1	35.251	41.4203	55.6438	30.462	35.4981	45.3055	42.4652	16.2727	66.0095	29.2181
CALB1	0.0499	3.1616	0.2964	0.0206	0.2104	0.0409	0.0371	0.079	0.1854	0.2633
BPNT2	94.0962	55.8021	66.6383	18.1335	31.2834	92.8783	79.205	33.0725	90.0908	34.8565
SFRP1	38.0187	1.6696	2.7271	0.6224	3.3931	9.457	23.8099	1.0425	0.4985	4.8211
LAPTM4B	22.8929	136.4376	96.4975	65.0994	103.4284	209.4435	70.3662	95.4275	137.5302	182.3081
UBE2W	18.6411	11.9501	22.2975	5.6869	11.7047	18.5452	14.7156	19.9119	17.0226	14.4945
POP1	5.6196	9.3808	6.905	2.0621	5.0112	8.4826	4.407	8.3983	5.9482	9.6328
NIPAL2	30.2549	12.6484	14.6824	8.1887	13.8974	36.9131	13.8928	49.1143	31.4853	17.8819
IKBKB	44.7853	25.4854	18.3286	6.8037	11.3569	32.8075	24.7837	10.8892	14.7887	10.9967
PLAT	76.6298	39.3615	18.4769	7.4878	13.2288	37.9209	85.5006	28.6497	7.3919	111.9792
JPH1	5.0615	4.8702	0.8759	3.1127	0.7971	4.5516	2.5856	41.731	0.7523	0.3091
DKK4	17.2593	0.1589	0.1181	0.0548	0	0.0651	0.1774	2.8322	0.2569	7.8754
STK3	12.2524	5.9646	7.8063	2.1463	4.1891	11.6214	9.5253	4.0006	7.4198	11.2366
GDAP1	5.2414	5.3447	1.5091	0.7489	1.6274	2.6609	1.5749	1.5112	1.6419	0.4016
RAB2A	163.1866	67.9325	102.0127	52.372	71.2864	159.5327	140.4796	66.8094	142.5789	68.7854
EIF3E	23.617	34.6447	43.5334	20.0453	29.3776	32.3166	23.1649	10.9404	26.4654	18.0684
EMC2	21.0888	21.079	40.8065	11.9441	26.9753	22.4992	21.546	14.62	33.7855	13.3803
ESRP1	138.3916	75.3536	0.0651	24.5637	0.0869	145.923	29.3112	115.0497	2.8569	77.2029
CCN4	2.2382	18.0928	15.7574	0.4352	16.8813	84.5899	92.7131	0.2807	3.9032	7.936
NDRG1	318.9912	209.8735	1150.4159	31.8955	863.235	45.2242	47.8832	158.2712	863.2348	75.8719
ZC2HC1A	14.3424	12.5733	22.6469	5.6701	10.7654	6.8241	11.6998	8.9241	15.2392	4.7624
IL7	0.8824	3.9458	7.0178	0.4632	6.0401	0.5677	1.9525	9.8919	4.055	7.4054
STMN2	25.5114	0.3486	0.2072	4.3519	0.0189	3.3437	8.7957	0.0921	0.0564	0.2066
ARMC1	49.712	54.5545	54.2134	11.3445	33.2288	59.6715	43.2657	21.7443	47.4844	29.2979
TRPS1	3.871	9.0939	12.2979	1.8535	5.0031	249.3311	67.1362	7.8833	13.1137	2.5448
SPAG1	17.4637	4.4776	10.9647	1.2235	6.4973	14.7509	11.3592	11.9993	10.5972	20.6843
CHRAC1	31.7401	47.3893	39.3736	22.6396	28.2574	39.5523	35.6525	24.8262	56.6448	52.506
NCALD	55.0675	15.7909	18.1129	0.6471	10.1462	9.621	8.1485	2.787	9.6168	5.9696
SNX16	14.3209	6.4734	10.7679	4.3898	6.7195	10.0048	16.1199	12.1767	12.8264	6.2834
GML	0	0.0753	0	0	0.0408	0	0.0561	0	0	0.0406
UBR5	34.5379	30.5914	28.0004	3.8157	14.0488	64.8546	24.7482	15.3476	25.5756	17.506
GSDMD	42.8427	111.6245	76.5438	89.1569	35.2398	45.4004	30.768	10.0918	72.0708	25.5514
GFUS	184.8369	74.2895	23.986	111.7068	20.7929	93.2292	71.2935	98.4284	37.1652	67.0482
PYCR3	42.3036	27.6325	8.4434	15.7852	4.742	15.5393	10.0272	4.5481	10.0024	4.6249
EEF1D	22.6012	46.7863	23.3338	32.5902	18.1525	19.4959	18.5747	10.4347	16.4193	15.7565
ANXA13	0.0375	0.0562	20.2352	0	7.0215	1.0747	0.5854	35.2358	8.3426	129.5375
SQLE	52.8068	87.4474	16.8832	2.2353	10.6723	51.2947	33.0937	100.9405	11.7106	31.5706
SH2D4A	12.0057	17.6231	24.5785	30.2516	12.6922	35.6994	14.7418	26.255	21.5531	38.5569
INTS10	43.4714	43.7606	30.4377	33.4807	23.7308	32.406	25.8345	15.4302	26.2359	16.9786
ERI1	4.0423	13.6426	8.8357	3.3696	6.1068	20.0894	11.3568	9.7713	10.0907	15.0587
SLC39A14	16.5988	62.6791	74.7222	20.7675	201.7623	54.3108	49.6302	41.9322	729.2672	99.8492
MTMR9	5.478	5.591	11.5314	2.5121	6.0856	10.8673	9.7024	4.6076	8.0943	6.7491
LEPROTL1	15.9755	35.1419	114.3799	21.6768	89.5995	46.9791	42.456	15.8932	122.0138	30.1567
DCTN6	21.3684	24.3598	46.8289	34.751	42.0269	31.1576	40.5807	21.4478	51.1232	21.9616
R3HCC1	26.6631	54.084	61.2654	64.2183	47.5611	43.9122	40.512	10.4172	64.2243	24.2493
GSR	74.786	98.763	85.3833	34.4852	79.2792	117.2005	64.1901	51.9512	144.1313	93.1274
TNFRSF10A	5.3807	23.4225	15.2893	5.7534	16.5651	17.4055	10.9149	12.0253	24.2038	21.6577
UBXN8	8.7557	3.1557	12.5906	10.3966	11.5971	10.6424	8.0921	4.6982	16.8034	8.0376
PPP2CB	47.42	49.2974	107.1336	56.9788	76.545	96.5806	77.6166	55.2773	164.1267	71.0703
ERICH1	1.9594	11.9936	9.7179	3.3672	7.5707	7.3615	5.8487	3.339	8.9665	5.3826
NEFM	0.0196	0.6463	0.1164	0	0.7204	1.3967	0.8162	0.9696	2.5332	0.0317
TUSC3	85.3112	56.6378	9.3973	35.7302	24.8507	44.8755	37.1587	5.0525	71.9656	2.4606
ARHGEF10	0.2432	1.044	0.5367	0.0317	0.5541	0.6674	0.3225	0.0694	0.2389	0.1026
KLHDC4	5.6619	17.1976	9.0396	13.222	7.8388	5.122	5.3043	3.6957	6.7864	5.4898
MCM4	13.9401	115.001	19.6785	12.9907	12.863	61.8388	24.0633	24.7469	14.4515	52.1871
ADAM2	56.1774	0.049	0.1093	0	0.053	0	0	0	0	0
KCTD9	12.3896	23.9254	60.8517	4.3799	41.0509	43.3785	28.5036	31.0073	63.8791	13.3782
FGL1	1.4249	0.1725	0.0641	0.0149	0.0117	0	0	0.1851	0.1743	0.0697
ASAH1	47.2408	49.7341	91.1771	74.6705	54.94	167.0001	88.4547	27.0996	94.9441	34.4245
BNIP3L	91.8586	120.5058	354.3125	34.5893	311.4066	226.129	138.5522	46.8916	815.2469	70.4973
MAN2B1	47.3018	129.1623	31.6169	14.435	30.4925	72.3764	58.0592	18.145	51.6603	32.9976
KCNN4	29.9586	21.1442	1.8959	33.1882	1.8554	3.463	12.9964	14.1505	1.268	5.8809
TULP2	0.0634	0.4432	0.8467	0.0218	0.0685	0.2335	0.1413	0.1672	0.2559	0.1364
NUCB1	423.3197	283.0617	290.4726	329.1444	260.328	222.0433	251.2853	161.4786	471.3798	91.4445
DHDH	68.1833	3.5462	14.9149	12.4127	11.4377	3.5651	0.7967	1.1483	1.1359	0.829
GYS1	86.6565	83.4122	93.1239	29.2082	78.6578	59.8571	32.4437	38.5943	239.3879	60.6488
MAP4K1	0.9274	27.0851	10.8523	6.5521	4.255	4.1992	14.3439	0.3477	5.4481	4.7069
CGB2	0	0.2424	0.2402	0.0557	0	0	0	0	0	0
ECH1	234.3089	152.368	208.8827	204.447	146.1368	73.0289	92.4364	106.4546	325.9849	68.0237
HNRNPL	94.4584	100.8122	62.1502	37.7604	41.0297	94.1364	67.0565	51.1685	42.3211	63.9874
NFKBIB	32.7497	62.1854	20.2124	36.4637	14.2513	29.3042	20.6319	36.4179	30.0381	27.1781
LHB	0.5656	1.243	0.5038	0.2338	0.0611	0.0926	0.0841	1.1189	0.274	0.1826
CGB3	0.0813	0.0812	0	0	0	0.0665	0	0	0.0656	0
TUBB4A	0.4648	3.2501	4.0413	0.061	9.7355	0.0544	0.1316	0.2481	5.3261	0.1191
SARS2	3.4505	3.9755	1.4343	1.1094	1.181	1.507	1.6076	1.6838	1.2261	2.81
KCNA7	0.0815	0.0977	0.1694	0.0225	0.0352	0	0.0242	0.129	0.0132	0.0175
SNRNP70	206.5661	241.252	104.7124	109.5566	82.9266	106.6228	77.301	72.1657	49.0357	55.8052
CLPTM1	121.1703	180.7107	83.1214	65.5174	63.153	91.3901	63.3078	113.5499	133.1958	94.6211
RELB	15.4532	313.9654	25.8177	32.4438	23.6228	23.2771	25.9288	18.3705	25.6648	24.3119
CLASRP	25.8669	66.9716	23.7752	18.2295	14.823	17.0238	19.5643	15.9507	8.6103	13.8109
LIN7B	14.1472	5.5637	4.7074	16.1883	1.7575	2.6965	2.5086	4.0479	5.0886	3.544
PPP1R37	34.7854	27.151	42.5467	23.5444	21.2636	26.8408	15.5691	17.2389	31.5215	22.4342
FCGRT	78.9148	148.0406	219.5043	72.7127	154.5217	76.5039	96.4055	64.3783	249.7585	65.5693
PIH1D1	64.9958	72.2175	51.0402	101.3927	38.3613	65.1197	48.1624	36.7935	44.7824	24.9256
CKM	0.687	0.4575	0.34	0.1578	0.1485	0.3375	0.3405	0.151	0.2219	0.2218
ARHGEF18	9.1678	25.8671	14.1186	17.092	8.94	26.9909	13.5298	18.4451	14.4567	39.5969
PPP1R13L	24.9312	15.1077	41.1571	29.2063	36.995	41.6904	21.707	103.324	41.938	36.8472
PEX11G	11.3484	6.9174	7.9954	31.9694	7.3281	10.6713	9.0806	2.1245	5.3201	3.4675
ERCC2	16.5068	15.905	11.1537	15.0412	8.2695	10.9114	10.5471	5.5518	10.9301	9.5607
DOT1L	9.3423	18.2999	6.5202	2.654	4.3145	5.8571	3.3621	19.7374	3.6921	13.0091
PLEKHJ1	38.5332	52.8087	27.9321	34.0568	13.3694	19.093	16.5262	10.5496	26.1603	20.25
SLC17A7	0.0357	0.1545	0.3533	0.164	0.1993	0.5067	1.0174	0.204	0.5285	0.1857
RNASEH2A	0.104	1.4543	0.4117	0.0478	0.0375	0.1135	0.0773	0.1371	0	0.1492
KLC3	2.4574	2.5328	0.2606	3.6682	0.2213	3.29	0.493	5.1443	0.9135	1.5428
CD37	1.5243	46.9649	22.5781	10.3362	11.0046	19.9433	44.7818	0.9035	17.9525	10.6911
SF3A2	120.8428	156.4684	56.9178	61.9257	41.2447	48.0245	44.4744	78.8615	45.9783	104.8088
AMH	2.4792	1.3484	1.3087	0.1518	0.2977	0.2256	0.6758	1.3806	0.7786	14.824
DKKL1	0.753	0.5373	0.4791	0.1112	0.1744	1.8498	0.7198	0.4256	0.2606	0.1158
LYL1	1.3938	8.3312	9.3619	3.6677	3.6795	5.3511	8.0517	1.7779	8.746	1.9796
OAZ1	328.9234	562.2189	226.6188	401.9648	163.3045	300.1593	318.3845	174.9126	253.181	249.2955
TRMT1	30.9292	89.8995	30.7577	32.0357	24.8883	26.5418	17.1199	9.8904	13.3611	19.4713
STX10	64.7966	92.5174	50.8954	64.1871	42.9503	55.0105	62.5988	37.5739	53.5128	29.4883
RETN	0	0.9658	0.205	3.9011	0.6717	1.0179	2.7723	0	0.4461	0.7432
FCER2	0.0291	5.2864	0.6043	3.5456	0.1257	0.5238	3.9342	0.0192	0.0939	0.5007
DMPK	14.3509	14.373	9.297	2.6934	5.9274	12.404	12.6464	10.3927	6.5814	13.1438
CLEC4M	0	0.0537	0.1596	0.0247	0.0097	0	0.0133	0.0118	0	0.0289
RSPH6A	0.0563	0.0281	0.2924	2.9656	0.1672	0.023	0	0.0186	0.2272	0.0303
TBC1D17	54.1014	49.5461	40.1028	40.666	26.0639	29.5475	24.0684	19.4965	39.725	19.1425
IL4I1	1.6852	136.5053	10.2192	6.8677	9.8942	5.4966	13.3782	0.7157	32.4311	14.6943
TLE6	0.5412	0.5006	1.3094	7.0435	1.04	4.6456	3.0105	0.2644	0.6961	3.4736
YJU2B	33.5973	55.9457	29.2894	20.739	16.3991	20.7565	18.8446	14.5706	13.1998	16.3897
PTOV1	36.433	29.9478	16.5207	16.5359	8.378	12.2157	12.8233	12.5642	9.5467	14.3892
TLE5	145.3596	121.3629	97.7143	134.7358	78.0015	132.4518	106.6315	51.508	139.6001	138.6991
NOVA2	0.6209	3.6751	10.9	0.9304	4.555	1.2584	4.2469	0.8957	8.3423	0.9523
SGTA	45.1796	60.4714	31.8493	35.8883	20.6426	31.9804	23.0864	14.1243	34.7199	30.199
KIR3DX1	0.0278	0.25	0.4129	0.0383	0.1428	0.0114	0.0414	0.0092	0.0786	0.0599
LILRB1	0.7827	25.2611	12.9077	1.147	4.3526	7.819	7.6913	0.4223	10.285	7.1753
MED25	25.4708	42.3554	16.3865	16.8897	9.5389	27.2683	9.2199	37.2743	16.4494	33.6178
LILRA1	0.147	1.3034	2.9737	0.1393	1.4102	3.6718	2.1723	0.1333	3.621	1.5724
SNAPC2	37.5056	43.37	17.811	46.2178	13.3369	52.2206	39.5355	9.9309	34.8269	13.9207
C19orf53	248.2046	220.7118	126.125	536.787	117.7548	197.7906	249.2404	67.4084	208.5656	126.7751
TIMM44	15.0062	49.55	21.7299	23.431	16.0112	17.2868	15.5688	10.6052	24.5597	14.9676
CCDC61	13.4102	15.4047	12.3865	31.5109	8.4821	14.4315	9.6014	8.3709	9.1173	7.6462
IL27RA	2.7539	45.3937	26.1084	13.0815	24.0469	38.0014	26.0778	6.149	45.2599	6.214
ASF1B	6.333	71.228	12.5356	12.7131	5.7236	25.6617	16.5061	29.9289	7.8184	28.4391
TNNT1	0.1682	15.3873	1.1983	0.1622	2.0901	2.2032	12.5766	1.752	24.3618	28.4501
VRK3	17.2067	15.096	19.4527	13.4234	11.9879	16.0028	10.0284	10.6461	13.2551	10.8256
FAM32A	137.743	132.2659	149.9656	133.0299	101.5014	171.6693	152.7675	60.4482	158.5404	108.1818
PPP6R1	41.7488	76.8387	45.4031	18.7217	20.3926	52.2088	33.4605	52.8695	39.5691	58.378
C19orf44	4.6655	6.3839	9.3163	3.1577	6.241	6.9819	4.3113	1.7874	5.3066	2.935
MED26	7.41	6.8145	3.4154	2.0826	2.0022	5.4984	4.4251	3.2811	2.1171	3.2534
OLFM2	88.1112	18.7092	5.3745	2.0621	7.3172	18.0907	43.4875	4.9061	4.2587	8.3909
RASAL3	1.3016	40.8885	25.0056	5.549	10.4761	8.7523	19.6035	1.0501	12.3534	7.2184
AKAP8	30.0418	38.5787	49.2535	12.6514	47.001	33.4033	30.4128	15.7192	33.0083	19.6391
EPHX3	7.3002	15.1065	1.3934	0.5987	13.2442	0.427	1.1889	136.1436	7.271	0.636
ILVBL	26.8256	40.6157	62.9391	92.6166	49.7373	26.0301	19.8965	25.8983	65.3077	20.8684
ZNF419	7.7769	5.3867	5.7859	2.5931	2.2648	5.392	4.1676	2.435	3.406	1.0199
SYDE1	6.0945	16.3971	47.6938	4.0997	35.5581	14.7071	29.5784	3.2127	31.432	9.6648
CASP14	0.0419	2.1142	0.0311	0	0	0.1201	0.0623	0.1382	0	8.0511
SLC1A6	0	0.0279	0.0969	0	0.0101	0.0153	0.0139	0	0.0075	0.01
AURKC	1.3902	4.7875	2.1181	1.5122	1.9968	1.5578	1.2511	1.5681	1.1817	0.0984
POP4	26.964	30.0102	24.9511	22.1097	17.298	25.2231	22.6292	16.0354	30.0576	16.2016
CCNE1	1.0135	17.3278	1.3757	5.0274	1.2206	3.0827	4.521	9.223	2.0111	5.345
URI1	73.2657	67.1276	50.5097	28.2164	34.7933	90.9315	46.5828	43.6639	37.2999	35.2243
PDCD5	73.437	202.3217	50.6652	52.7126	52.3483	57.2624	66.0036	52.3717	66.0262	43.3683
ANKRD27	21.2912	22.0405	20.7037	6.4929	9.9799	15.8886	15.2081	16.4229	13.5132	12.4298
RPS16	1126.1307	1052.6719	551.4554	1711.2936	720.242	855.8698	704.3573	453.3976	581.2276	547.7671
TIMM50	31.847	38.0309	21.8889	42.2022	14.6775	22.8577	19.3378	19.2757	21.5733	17.8311
LGALS13	0.1005	0	0	0	0	0	0	0	0	0
FBL	192.727	455.7861	162.9999	279.6331	159.3062	248.8508	148.2897	98.1632	123.9834	126.4213
DYRK1B	56.3059	45.9445	31.2219	30.1781	21.1138	35.6323	24.7813	20.9351	33.0662	19.9798
CLC	0	1.2411	0	0	0.1831	0	0.084	0	0.1824	0.7293
CCNP	10.9021	8.1074	0.362	1.8237	0.1882	2.8237	7.6132	2.4806	0.0281	0.8247
GPI	104.4876	174.0328	167.6895	59.0682	116.7284	81.0171	63.727	99.7996	256.4166	145.5279
AKT2	39.4997	35.4794	23.7713	25.6693	16.6645	28.3346	23.2125	13.6028	18.2111	21.4032
PLD3	110.4143	403.3733	129.0734	255.6156	105.2794	107.8247	98.0256	41.9915	121.9919	128.7444
PRX	5.3434	3.674	1.7152	7.0973	4.3444	5.2428	2.4265	0.7682	4.1596	1.2486
PIAS4	31.2833	40.3606	23.117	13.4341	13.9924	29.1622	17.0448	14.2064	17.5273	29.7976
NUMBL	10.3292	22.2512	4.0698	5.9443	3.8293	14.5617	14.8309	8.9419	4.5562	12.2827
EBI3	1.305	13.2067	11.8768	19.1932	9.5666	11.2905	8.8584	0.6735	34.411	4.9158
YJU2	48.1931	62.3994	44.399	70.4373	32.8088	32.8872	29.7626	12.9317	43.5422	22.6466
SHD	0.0665	0.2324	0.2467	0.0916	0.018	0	0.2718	4.8002	0	0.3041
TBCB	58.7989	131.5979	38.8621	83.4491	41.4003	47.3536	58.1339	23.2808	56.6972	37.4856
FSD1	0.1374	7.8898	0.4758	0.1104	0.2351	0.0375	0.1532	0.1812	0.4252	0.4558
POLR2I	10.9686	15.7786	5.2107	57.0857	5.7581	6.6723	7.1295	19.9216	12.5527	19.2255
OVOL3	0.3816	3.2403	0.1416	0.5258	0.0516	0.1562	0.0709	0.1887	0.1541	0.2567
CLIP3	11.9436	13.2551	9.6664	15.2573	7.8455	19.0649	33.7592	2.4963	8.3918	9.9414
ZFR2	0.0585	0.1754	0.1564	0.7823	0.0569	0	0.0435	0.0232	0.0189	0.0126
SLC1A5	208.2749	161.1426	68.3613	19.8776	51.2718	136.6806	80.5063	136.5801	27.4797	134.765
PRKD2	58.1161	65.6863	55.4946	38.1924	27.7278	47.9613	35.9105	44.9193	47.5928	38.7966
TJP3	16.5217	19.8273	0.6672	27.6326	0.5926	86.5348	20.062	64.9065	0.9582	28.5688
APLP1	6.4841	6.1556	0.6278	2.5665	2.5464	1.7314	4.7607	1.8059	1.2196	1.0078
CACTIN	7.7758	19.9284	7.3816	4.3831	5.1215	8.9184	5.8611	4.8194	6.0763	6.6667
CCDC9	34.3976	30.0507	24.9312	22.1008	21.4813	38.5087	24.4941	15.7349	17.3214	14.5346
HNRNPUL1	90.8511	189.0605	88.6249	50.2418	82.4739	156.1281	110.5722	116.2581	108.5981	91.0512
FZR1	35.9457	41.4817	28.3235	26.6521	16.5831	25.2638	22.1105	18.8714	30.2812	32.1209
BBC3	8.4801	16.3394	12.5893	22.9993	15.9004	17.443	8.334	10.1807	5.8544	19.6023
TGFB1	24.4753	131.434	149.5543	60.2733	118.8621	83.7634	122.2283	53.1556	226.8158	53.9528
DENND3	9.9042	27.589	17.922	3.5821	11.6927	4.778	6.6998	1.7655	14.0654	5.502
DMAC2	14.2984	32.1264	34.8952	28.0395	27.5849	32.8218	25.469	20.1125	30.5682	29.0271
CEACAM4	0.1045	3.0272	1.3961	0.4319	1.0164	0.3851	1.0099	0.0345	0.8017	0.9559
PLIN3	80.761	61.9385	41.9092	50.8717	53.486	132.0122	80.7591	139.5221	133.4435	61.0039
MYH14	44.8521	30.768	0.1323	55.9497	4.0749	61.7758	12.8276	179.4622	40.19	80.4215
MRPL4	21.6762	45.7162	13.1986	32.7675	11.3081	23.1283	11.7391	15.4802	16.5175	29.8432
SIGLEC8	0.4045	3.7044	4.771	0.4026	2.3683	14.6491	7.7192	0.0148	20.0183	0.2056
CD79A	0.5833	107.6879	2.8338	64.2208	2.407	11.8104	99.065	0.9091	2.3551	15.551
LIM2	0	0.071	0.5279	0.098	0.269	0	0	0.1876	0.3446	0
ICAM4	0	0	0	0	0	0	0	0	0	0
RPS19	442.4523	1778.8027	536.7775	1834.6662	739.0312	870.199	606.4668	326.2117	570.4311	361.5799
NOP53	218.7253	257.3315	285.2546	376.8945	194.2529	261.0106	122.0466	52.3849	168.5594	85.91
NKG7	2.5534	230.1166	286.9486	27.5072	69.2038	19.3257	55.1678	2.3471	96.1046	28.1481
ICAM5	0.163	58.8891	0.2151	6.5005	0.2153	0.0593	0.1077	0.418	0.0585	0.2242
ETFB	11.3545	10.4442	9.7067	27.0578	8.7742	4.366	3.9231	7.6393	11.6057	4.4572
CD33	0.2982	4.9804	4.9224	0.6738	2.0045	3.5747	4.6553	0.1101	3.3615	4.955
CEACAM5	9.7975	0.25	0.0265	0	0.0097	0.2635	3.5888	3253.6331	0	1.0679
CRX	0.0119	0.0119	0.3002	0.0328	0	0.0195	0	0.0157	0.0096	0.032
BABAM1	29.7372	32.2169	15.4534	49.7249	15.8612	20.6884	20.1787	11.0519	22.6544	12.8377
TYK2	44.9984	314.5817	49.4161	19.6271	34.7118	42.2563	30.6737	18.4972	37.642	35.969
SULT2A1	0.4866	0.0374	0.2223	0.0258	0.0202	0	0.0278	1.0613	0	0.0201
CDC37	210.3258	248.7026	189.4738	167.0626	134.1197	120.4937	156.6813	81.5975	160.2213	172.8259
NAPA	68.3336	27.0753	19.1326	15.4798	15.3708	47.6191	33.7911	29.7818	26.024	23.0301
RABAC1	15.656	15.6031	10.1411	28.1609	9.9172	7.4685	6.1766	16.7034	15.0585	7.1732
ATP1A3	0	0.2261	0.1945	0.0164	0.0322	0.078	0.1683	0.1178	0.0577	0.0128
MEIS3	1.5432	6.2636	3.4055	0.6992	3.9969	35.5767	29.9741	0.9626	2.0097	2.798
PTPRS	43.1413	35.9324	25.9767	4.7177	24.5458	31.9278	15.2358	10.924	16.7175	23.0994
CNFN	4.3014	8.3618	1.7259	98.9151	1.8219	27.227	4.7537	4472.8911	20.6543	24.0859
ZNRF4	0	0	0	0	0	0	0	0.0326	0	0
MEGF8	10.81	18.9999	24.0396	17.1097	20.3666	20.1623	12.8215	11.7401	47.7781	17.3808
KDELR1	567.7009	312.5261	349.2134	391.3329	240.2513	337.5826	290.8099	380.4923	446.6301	482.4306
CYTH2	48.7923	25.5231	19.0214	32.6999	16.6211	28.15	30.6322	14.9495	20.429	13.5064
GRWD1	25.4181	40.1062	18.7452	27.2229	15.0775	28.7379	19.7634	13.8634	20.8539	24.3034
GRIN2D	2.1828	2.5441	0.7686	0.723	0.6957	2.6583	5.4719	11.1555	0.791	3.0797
